latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.572933,15.771705,262.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),wind_speed_100m (km/h)
2010-01-01T00:00,1.5,99,-1.1,0.00,0.00,100,9.7
2010-01-01T01:00,1.0,100,-1.7,0.00,0.00,100,10.4
2010-01-01T02:00,0.7,100,-2.3,0.00,0.00,100,11.5
2010-01-01T03:00,0.9,99,-2.0,0.00,0.00,100,11.6
2010-01-01T04:00,1.2,99,-1.6,0.00,0.00,95,10.7
2010-01-01T05:00,0.9,99,-1.9,0.00,0.00,93,11.2
2010-01-01T06:00,0.7,99,-2.1,0.00,0.00,100,10.7
2010-01-01T07:00,0.9,100,-1.8,0.00,0.00,100,9.6
2010-01-01T08:00,1.5,99,-1.0,0.00,0.00,100,7.4
2010-01-01T09:00,2.6,98,0.4,0.00,0.00,100,5.6
2010-01-01T10:00,4.0,97,1.8,0.00,0.00,100,5.4
2010-01-01T11:00,5.0,92,2.9,0.00,0.00,100,5.6
2010-01-01T12:00,6.0,87,4.0,0.00,0.00,100,5.2
2010-01-01T13:00,6.6,84,4.5,0.00,0.00,100,6.8
2010-01-01T14:00,6.7,84,4.3,0.00,0.00,100,9.7
2010-01-01T15:00,5.9,89,3.6,0.00,0.00,100,10.8
2010-01-01T16:00,5.3,91,3.2,0.00,0.00,100,10.8
2010-01-01T17:00,4.7,94,2.6,0.00,0.00,100,11.5
2010-01-01T18:00,4.3,95,2.1,0.00,0.00,100,10.6
2010-01-01T19:00,3.4,94,0.9,0.00,0.00,80,9.2
2010-01-01T20:00,2.8,97,0.3,0.00,0.00,61,9.0
2010-01-01T21:00,2.2,97,-0.3,0.00,0.00,100,11.2
2010-01-01T22:00,1.7,98,-1.0,0.00,0.00,100,14.5
2010-01-01T23:00,1.9,98,-0.9,0.00,0.00,100,14.2
2010-01-02T00:00,1.8,98,-1.0,0.00,0.00,100,13.0
2010-01-02T01:00,1.6,98,-1.1,0.00,0.00,100,12.3
2010-01-02T02:00,1.1,98,-1.7,0.00,0.00,100,12.1
2010-01-02T03:00,0.9,98,-1.9,0.00,0.00,100,11.8
2010-01-02T04:00,0.8,98,-1.9,0.00,0.00,100,11.2
2010-01-02T05:00,0.7,97,-1.9,0.10,0.10,99,10.1
2010-01-02T06:00,0.7,97,-2.1,0.20,0.20,100,10.8
2010-01-02T07:00,1.3,95,-1.9,0.40,0.40,93,15.9
2010-01-02T08:00,2.5,90,-0.7,0.00,0.00,86,19.5
2010-01-02T09:00,3.9,77,0.3,0.00,0.00,76,20.3
2010-01-02T10:00,4.4,62,0.5,0.00,0.00,32,15.5
2010-01-02T11:00,4.2,58,-0.2,0.00,0.00,92,18.4
2010-01-02T12:00,3.9,54,-1.0,0.00,0.00,100,22.0
2010-01-02T13:00,3.4,52,-2.0,0.00,0.00,100,26.4
2010-01-02T14:00,2.7,50,-3.1,0.00,0.00,100,30.6
2010-01-02T15:00,2.0,50,-4.1,0.00,0.00,92,32.4
2010-01-02T16:00,1.4,51,-4.6,0.00,0.00,93,31.3
2010-01-02T17:00,0.9,51,-4.8,0.00,0.00,90,28.8
2010-01-02T18:00,0.6,52,-5.1,0.00,0.00,90,29.2
